Наименование работ,Цена,Дата
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",1700,2021-07-30
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-07-31
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-07-31
Ремонт генератора,1000,2021-07-31
Электротехнические работы прошивка системы,8000,2021-07-31
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-07-31
Проверка электростеклоподъемников,1000,2021-07-31
Замена АКБ,1000,2021-08-01
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-01
Электротех работы,1200,2021-08-01
Электротехнические работы,1000,2021-08-03
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-03
Проверка/замена ДТОЖ,1000,2021-08-03
Ремонт ЭБУ,8000,2021-08-03
Замена топливного насоса погружной в баке,1200,2021-08-03
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",1900,2021-08-03
"Простая замена эл ламп освещения стоп-сигналы,поворотники,габариты,подсветканомера,салон",100,2021-08-03
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",1700,2021-08-03
Электротехнические работы,1500,2021-08-03
Промывка форсунок,1900,2021-08-03
Замена свечей зажигания 4 цилиндр. ДВС,400,2021-08-04
Замена электромотора стеклоомывателя,500,2021-08-04
Бензонасос-разборка/сборка,1000,2021-11-02
"Проверка эл.цепей бензонасоса,ремонт (частичная замена)электропроводки",2200,2021-11-02
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-04
Диагностика АКПП,3000,2021-08-04
Устранение неисправности плюсовой клемы АКБ,500,2021-08-07
Электротехнические работы,7000,2021-08-04
Проверка электро цепей маяка,2000,2021-08-04
Диагностика герметичности системы (УФ-краситель в системе) 1 кондиц.,1000,2021-08-05
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",1700,2021-08-06
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-06
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-06
"Ремонт электропроводки , устранение неисправностей",2000,2021-08-06
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-06
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-06
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-07
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-07
Замена лампы ПТФ,0,2021-08-12
"Простая замена эл ламп освещения стоп-сигналы,поворотники,габариты,подсветканомера,салон",0,2021-08-12
Ремонт электропроводки передней правой фары и ПТФ,700,2021-08-12
Электротех работы,3700,2021-08-07
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-07
Электротехнические работы,500,2021-08-07
Замена датчика кислорода,1000,2021-08-07
Электротехнические работы,4000,2021-08-08
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",1500,2021-08-13
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",1700,2021-08-11
Пойск утечки в системе кондиционера,500,2021-08-11
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",1500,2021-08-23
Компьютерная диагностика ДВС,1000,2021-08-11
Диагностика мотора омывателя,500,2021-08-11
Заменна мотора омывателя,500,2021-08-11
Компьютерная диагностика,1000,2021-08-11
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-11
Ремонт приборной панели,3000,2021-08-11
Электротехнические работы,2000,2021-08-11
"Простая замена эл ламп освещения,DS-2(1 шт),DS-3(1 шт)",300,2021-08-13
Компьютерная диагностика,1000,2021-08-13
Проверка системы CVVL,1000,2021-08-13
Компьютерная диагностика,1000,2021-08-14
Замена лампы головного освещения,200,2021-08-14
Заправка кондиционера с красителем,1900,2021-08-14
Ремонт генератора,1000,2021-08-14
Компьютерная диагностика,1000,2021-08-15
Компьютерная диагностика,1000,2021-08-15
Компьютерная диагностика,1000,2021-08-15
Замена клапана адсорбера,500,2021-08-27
Компьютерная диагностика,1000,2021-08-27
Электротехнические работы,5000,2021-11-19
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",1700,2021-08-17
Яистка радиаторов,2000,2021-08-17
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",1700,2021-08-17
Компьютерная диагностика,1000,2021-08-17
Компьютерная диагностика,1000,2021-08-17
Регулировка замка двери (водительской),1000,2021-08-17
"Проверка, смазка моторчика раздатки",2000,2021-08-18
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-18
Электротехнические работы,2000,2021-08-19
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",2000,2021-08-18
Компьютерная диагностика,1000,2021-08-19
Разборка сборка ремонт генератора,1500,2021-08-20
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-20
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-20
Экспресс диагностика кондиционера,500,2021-08-20
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-20
Ремонт электропроводки передней правой фары и ПТФ,2000,2021-08-20
Электротехнические работы,500,2021-08-20
"Проверка, замена лягушки тормозов",1000,2021-08-21
Проверка системы охлаждения,1000,2021-08-21
Замена уплотнительного кольца кондиционера,500,2021-08-21
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",1700,2021-08-21
Диагностика системы охлаждения,1000,2021-08-21
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",1700,2021-08-21
Диагностика гидроника,1000,2021-08-23
Электротехнические работы,1000,2021-08-21
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-22
Ремонт генератора,2500,2021-08-24
Замена лампы головного освещения,200,2021-08-22
Замена предохранителя,500,2021-08-22
Электротехнические работы,3000,2021-08-25
Электротехнические работы,1500,2021-08-24
Мойка радиаторов,2000,2021-08-24
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-25
Замена топливного насоса погружной в баке,1200,2021-08-25
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-24
Замена предохранителя,500,2021-08-25
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",1900,2021-08-25
Замена катушки зажигания,200,2021-08-25
Компьютерная диагностика,1000,2021-08-25
Установка магнитолы и колонок,2000,2021-08-25
"Компьютерная диагностика, поиск утечек вп. коллектора,проверка компонентовбесключевого доступа",2000,2021-09-01
Компьютерная диагностика,1000,2021-08-27
Прошивка евро 2,8000,2021-08-27
Компьютерная диагностика,1000,2021-08-27
Ремонт топливного насоса,1000,2021-08-27
Замена разьема лампы,500,2021-08-27
Электротехнические работы,2000,2021-08-28
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-28
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-29
Электротехнические работы,2500,2021-08-28
Электротехнические работы,500,2021-08-28
Компьютерная диагностика,1000,2021-08-30
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-30
Замена датчика педали тормоза,500,2021-08-30
Замена рычага переключения поворота,500,2021-08-30
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-30
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-31
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-31
Замена топливного насоса погружной в баке,1500,2021-08-31
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-31
Замена катушки зажигания 1 шт.,200,2021-08-31
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-08-31
Ремонт кронштейна газовых форсунок,500,2021-08-31
Ремонт электропроводки,1000,2021-08-31
Диагностика звукового сигнала,500,2021-08-31
Замена звукового сигнала,500,2021-08-31
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1500,2021-09-01
Электротехнические работы,2500,2021-09-01
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-01
Электротехнические работы,2800,2021-09-01
Электротехнические работы,2000,2021-09-01
Замена ПТФ,500,2021-09-01
Электротехнические работы,2500,2021-09-01
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-11
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-03
Промывка инжектора,1850,2021-09-04
Диагностика и ремонт электропроводки,5000,2021-09-03
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-03
Ремонт электропроводки,1000,2021-09-03
"Электротехнические работы,ремонт электропроводки",1000,2021-09-04
Диагностика топливной системы,500,2021-09-04
Замена топливного насоса погружной в баке,1500,2021-09-04
Промывкаа радиаторов системы ОЖ,2000,2021-09-04
Установка звуковых сигналов,500,2021-09-04
Замена эл ламп,500,2021-09-04
Замена топливного насоса погружной в баке,1500,2021-09-04
Осмотр проверка диагностика системы питания,500,2021-09-04
Работа по замене предохранителя,450,2021-09-04
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-05
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-05
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-05
замена магнитолы,2000,2021-09-08
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-08
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2022-02-11
Замена топливного насоса погружной в баке,750,2021-09-08
Замена топливного фильтра погружной в баке,750,2021-09-08
Осмотр,0,2021-09-09
Замена свечей зажигания 4 цилиндр. ДВС,500,2021-09-09
Коллектор выпускной-снятие/установка,2500,2021-09-09
Электротехнические работы,1500,2021-09-11
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-11
Ремонт разьема,1000,2021-09-11
Ремонт разьема+ замена ламп,1000,2021-09-11
Замер компрессии ДВС 4ре ц.,500,2021-09-12
Компьютерная диагностика электронных систем после заправки фреоном,1000,2021-09-12
Электротехнические работы,1000,2021-09-15
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-13
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-12
Замер компрессии цилиндров,500,2021-09-12
Промывка форсунок,1900,2021-09-15
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-19
Проверка цепи заднегно стеклоочестителя,2000,2021-09-19
Проверка цепи подогрева рулевого колеса,1500,2021-09-19
Компьютерная диагностика электронных систем после заправки фреоном,1000,2021-09-17
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-17
Замена предохрагнителей,500,2021-09-17
Компьютерная диагностика электронных систем после заправки фреоном,1000,2021-09-17
Компьютерная диагностика,1000,2021-09-18
"Проверка электропроводки форсунок,ремонт проводки",1500,2021-09-18
Замена свечей+ катушки зажигания,500,2021-09-18
Компьютерная диагностика,1000,2021-09-18
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-18
Замена АКБ,500,2021-09-18
Снятие не штатной блакировким,3000,2021-09-19
Установка сигнализации,5000,2021-09-19
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-20
Проверка мощности искры зажигания,500,2021-09-20
Подключение регистратора,1500,2021-09-19
Компьютерная диагностика электронных систем после заправки фреоном,1000,2021-09-20
"Электротехнические работы ремонт электропроводки,установка коробапредохранителей",15000,2022-01-05
Дтагностика центрального замка,1000,2021-09-21
Замена лампы головного освещения,300,2021-09-21
Замена предохрагнителей,500,2021-09-21
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-21
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-21
Замана магнитолы,700,2021-09-22
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-22
Прошивка блока подушек безопасности,4000,2021-10-01
Установка камеры заднего вида,2500,2021-10-01
Установка обманки подушки,1000,2021-10-01
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-22
Замена ламп,1000,2021-09-22
Ремонт клемы+замена АКБ,500,2021-09-22
Ремонт электропроводки,4000,2021-09-22
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",500,2021-09-29
Замена топливного насоса погружной в баке,1500,2021-09-29
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-24
Замена ЭУР,5500,2021-10-16
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-24
Замена ЭБУ,1000,2021-09-24
Привязка ЭБУ к автомобилю(прошивка),5000,2021-09-24
Электротехнические работы,2000,2021-09-24
Замена лампы,250,2021-09-25
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-25
Замена АКБ,1000,2021-09-26
Демонтаж сигнализации,2000,2021-09-26
Подключение к климату,2000,2021-09-26
Подключение сигнализации к Webasto,1000,2021-09-26
Установка дополнительного прикуривателя,1000,2021-09-26
Установка сигнализации,6000,2021-09-26
Запись заводской прошивки,1500,2021-09-26
Компьютерная диагностика,1000,2021-09-26
Компьютерная диагностика,1000,2021-09-26
Проверка и замена АКБ,1000,2021-09-27
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-29
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-29
Замена катушки зажигания 1 шт.,100,2021-09-29
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",2000,2021-09-29
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",2000,2021-09-29
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-29
Замена предохранителя,300,2021-09-29
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-09-29
Проверка форсунок ГБО,1000,2021-09-29
Чистка дроссельной заслонки,500,2021-09-29
Электротехнические работы,4000,2021-09-29
"Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто",1700,2021-10-01
"Простая замена эл ламп освещения стоп-сигналы,поворотники,габариты,подсветканомера,салон",800,2021-10-01
Ремонт обходчика сигнализации,2000,2021-10-01
Подключение ПТФ,2000,2021-10-17
Чип-тюнинг,6000,2021-09-30
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-10-01
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-10-01
Ремонт блокировки,2500,2021-10-01
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",700,2021-10-02
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-11-07
Замена боковых габаритов,2000,2021-11-07
Замена обводного ремня + ролик,1200,2021-11-07
"Проверка давления топлива ,утечек ГБО",1500,2021-11-07
Проверка и ремонт проводки боковых габаритов,1000,2021-11-07
Проверка и ремонт электропроводки задних фонарей,2000,2021-11-07
Проверка мотор-тестером,2000,2021-11-07
"Проверка электроцепей ДК1, ДК2",1000,2021-11-07
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-10-02
Выставление меток ГРМ по выпускному валу,4000,2021-10-02
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-10-02
Замена блока управления ДВС,1000,2021-10-02
Привязка ЭБУ к авомобилю ( прошивка),5000,2021-10-02
Проверка электоцепей питания ЭБУ,1500,2021-10-02
Компьютерная диагностика,1000,2021-10-05
"Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках",1000,2021-10-06
