,Дата операции,Дата обработки,Код авторизации,Описание операции,Категория,Сумма в валюте счёта,period
0,2022-12-31 14:50:00,2022-12-31,280203,KRASNOE BELOE,Супермаркеты,-1807.77,2022-12
1,2022-12-31 14:46:00,2022-12-31,245331,MAGNIT MK NACHINENIE,Супермаркеты,-521.99,2022-12
2,2022-12-31 14:24:00,2022-12-31,249189,MAGNIT MM KABATCHIK,Супермаркеты,-1539.35,2022-12
3,2022-12-31 14:13:00,2022-12-31,223154,APTECHNOE UCHREZHD-IE,Здоровье и красота,-986.5,2022-12
4,2022-12-31 09:22:00,2022-12-31,290868,"WILDBERRIES SBERPAY,",Прочие расходы,-344.0,2022-12
5,2022-12-30 23:40:00,2022-12-31,239471,GOSTINICA BEREZOVAYA RO,Путешествия,-1800.0,2022-12
6,2022-12-30 23:30:00,2022-12-31,213548,ZAKUSOCHNAYA 30 KM,Супермаркеты,-6.0,2022-12
7,2022-12-30 23:25:00,2022-12-31,233062,ZAKUSOCHNAYA 30 KM,Супермаркеты,-1078.0,2022-12
8,2022-12-25 11:23:00,2022-12-26,246444,SBERBANK_ONL@IN_PLATEZH,Прочие операции,-3000.0,2022-12
9,2022-12-24 16:57:00,2022-12-26,228515,YM YANDEX.PLUS,Неизвестная категория(-),-299.0,2022-12
10,2022-12-20 23:23:00,2022-12-21,208311,BAR ZHIGULEVO,Рестораны и кафе,-395.0,2022-12
11,2022-12-20 22:33:00,2022-12-21,237040,BAR ZHIGULEVO,Рестораны и кафе,-415.0,2022-12
12,2022-12-20 22:32:00,2022-12-21,283787,BAR ZHIGULEVO,Рестораны и кафе,-395.0,2022-12
13,2022-12-20 21:55:00,2022-12-21,276573,15200277,Супермаркеты,-140.0,2022-12
14,2022-12-20 21:55:00,2022-12-21,260934,15200277,Супермаркеты,-110.0,2022-12
15,2022-12-20 18:32:00,2022-12-20,243666,ZAKUSOCHNAYA AYVENGO,Супермаркеты,-484.0,2022-12
16,2022-12-20 14:43:00,2022-12-20,265699,MAGNIT MK NACHINENIE,Супермаркеты,-29.99,2022-12
17,2022-12-20 14:39:00,2022-12-20,261466,OOO BIONTA 42,Здоровье и красота,-128.0,2022-12
18,2022-12-20 13:41:00,2022-12-20,203307,SAMOKAT,Супермаркеты,-446.0,2022-12
20,2022-12-20 13:05:00,2022-12-20,254845,YANDEX.TAXI,Отдых и развлечения,-50.0,2022-12
