Отчет по исполнителю;;;;;;;;;

Предприятие : ИП Стелюк Наталья Васильевна;;;;;;;;;;;;;;;;;;;;;;;;;;

С 01 Январь 2021 по 28 Февраль 2023;;;;;;;;;;;;;;;;;;;;;;;;;;

Фамилия Имя Отчество;;Табель учета рабочего времени (Январь);;;;;;;;;;;;;;;;;;;;;;Отработано;;
;;1;2;;3;4;5;6;7;8;9;10;;;11;12;;13;;14;15;-;;часов;;дней
;;16;17;;18;19;20;21;22;23;24;25;;;26;27;;28;;29;30;31;;;;
Кабанов Денис Юрьевич;;;;;;;;;;;;;;;;;;;;;;0;;0
;;;;;;;;;;;;;;;;;;;;;;;;;;

Наименование работ;;;;;;;;;;;;;Объемработ(н/час);;;;КТУ;;Объемработ сучетомКТУ(н/час);;;;Расценка(тариф);;Сумма;
Заказ-наряд №: 11 от 30.07.2021, ТС: Hyundai ix35 гос. номер: А681НС196;;;;;;;;;;;;;;;;;;;;;;;;;;
Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто;;;;;;;;;;;;;1 700,000;;;;1;;1 700,000;;;;0,00;;0,00;
Итого;;;;;;;;;;;;;1 700,000;;;;;;1 700,000;;;;;;0,00;
Заказ-наряд №: 16 от 31.07.2021, ТС: ВАЗ 2109 гос. номер: Т326ЕОЛ72;;;;;;;;;;;;;;;;;;;;;;;;;;
Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках;;;;;;;;;;;;;1 000,000;;;;1;;1 000,000;;;;0,00;;0,00;
Итого;;;;;;;;;;;;;1 000,000;;;;;;1 000,000;;;;;;0,00;
Заказ-наряд №: 18 от 31.07.2021, ТС: ВАЗ 2114 гос. номер: В034НС72;;;;;;;;;;;;;;;;;;;;;;;;;;
Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках;;;;;;;;;;;;;1 000,000;;;;1;;1 000,000;;;;0,00;;0,00;
Итого;;;;;;;;;;;;;1 000,000;;;;;;1 000,000;;;;;;0,00;
Заказ-наряд №: 19 от 31.07.2021, ТС: Toyota Camry гос. номер: Х050АТ96;;;;;;;;;;;;;;;;;;;;;;;;;;
Ремонт генератора;;;;;;;;;;;;;1 000,000;;;;1;;1 000,000;;;;0,00;;0,00;
Итого;;;;;;;;;;;;;1 000,000;;;;;;1 000,000;;;;;;0,00;
Заказ-наряд №: 20 от 31.07.2021, ТС: Hyundai Solaris гос. номер: О564КН72;;;;;;;;;;;;;;;;;;;;;;;;;;
Электротехнические работы прошивка системы;;;;;;;;;;;;;8 000,000;;;;1;;8 000,000;;;;0,00;;0,00;
Итого;;;;;;;;;;;;;8 000,000;;;;;;8 000,000;;;;;;0,00;
Заказ-наряд №: 21 от 31.07.2021, ТС: Renault Logan гос. номер: Т657РМ72;;;;;;;;;;;;;;;;;;;;;;;;;;
Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках;;;;;;;;;;;;;1 000,000;;;;1;;1 000,000;;;;0,00;;0,00;
Итого;;;;;;;;;;;;;1 000,000;;;;;;1 000,000;;;;;;0,00;
Заказ-наряд №: 23 от 31.07.2021, ТС: Renault Logan гос. номер: У648АЕ797;;;;;;;;;;;;;;;;;;;;;;;;;;
Проверка электростеклоподъемников;;;;;;;;;;;;;1 000,000;;;;1;;1 000,000;;;;0,00;;0,00;
Итого;;;;;;;;;;;;;1 000,000;;;;;;1 000,000;;;;;;0,00;
Заказ-наряд №: 32 от 01.08.2021, ТС: BMW X5 гос. номер: Т361ХТ72;;;;;;;;;;;;;;;;;;;;;;;;;;
Замена АКБ;;;;;;;;;;;;;1 000,000;;;;1;;1 000,000;;;;0,00;;0,00;
Итого;;;;;;;;;;;;;1 000,000;;;;;;1 000,000;;;;;;0,00;
Заказ-наряд №: 35 от 01.08.2021, ТС: Mitsubishi Lancer гос. номер: Н359КТ72;;;;;;;;;;;;;;;;;;;;;;;;;;
Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках;;;;;;;;;;;;;1 000,000;;;;1;;1 000,000;;;;0,00;;0,00;
Электротех работы;;;;;;;;;;;;;1 200,000;;;;1;;1 200,000;;;;0,00;;0,00;
Итого;;;;;;;;;;;;;2 200,000;;;;;;2 200,000;;;;;;0,00;
Заказ-наряд №: 48 от 03.08.2021, ТС: LADA VESTA гос. номер: Т440ЕР72;;;;;;;;;;;;;;;;;;;;;;;;;;
Электротехнические работы;;;;;;;;;;;;;1 000,000;;;;1;;1 000,000;;;;0,00;;0,00;
Итого;;;;;;;;;;;;;1 000,000;;;;;;1 000,000;;;;;;0,00;
Заказ-наряд №: 58 от 03.08.2021, ТС: ГАЗ Соболь гос. номер: О083УК72;;;;;;;;;;;;;;;;;;;;;;;;;;
Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках;;;;;;;;;;;;;1 000,000;;;;1;;1 000,000;;;;0,00;;0,00;
Проверка/замена ДТОЖ;;;;;;;;;;;;;1 000,000;;;;1;;1 000,000;;;;0,00;;0,00;
Ремонт ЭБУ;;;;;;;;;;;;;8 000,000;;;;1;;8 000,000;;;;0,00;;0,00;
Итого;;;;;;;;;;;;;10 000,000;;;;;;10 000,000;;;;;;0,00;
Заказ-наряд №: 61 от 03.08.2021, ТС: Datsun On-Do гос. номер: Н713НР159;;;;;;;;;;;;;;;;;;;;;;;;;;
Замена топливного насоса погружной в баке;;;;;;;;;;;;;1 200,000;;;;1;;1 200,000;;;;0,00;;0,00;
Итого;;;;;;;;;;;;;1 200,000;;;;;;1 200,000;;;;;;0,00;
Заказ-наряд №: 62 от 03.08.2021, ТС: Mazda 3 гос. номер: Е972ХО86;;;;;;;;;;;;;;;;;;;;;;;;;;
Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто;;;;;;;;;;;;;1 900,000;;;;1;;1 900,000;;;;0,00;;0,00;
Итого;;;;;;;;;;;;;1 900,000;;;;;;1 900,000;;;;;;0,00;
Заказ-наряд №: 65 от 03.08.2021, ТС: Kia Rio гос. номер: О252КО72;;;;;;;;;;;;;;;;;;;;;;;;;;
Простая замена эл ламп освещения стоп-сигналы,поворотники,габариты,подсветканомера,салон;;;;;;;;;;;;;100,000;;;;1;;100,000;;;;0,00;;0,00;
Итого;100,000;;100,000;;0,00
Заказ-наряд №: 66 от 03.08.2021, ТС: Suzuki Grand Vitara гос. номер: К056ХТ86;;;;;
Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто;1 700,000;1;1 700,000;0,00;0,00
Итого;1 700,000;;1 700,000;;0,00
Заказ-наряд №: 71 от 03.08.2021, ТС: Kia Rio гос. номер: У927РТ777;;;;;
Электротехнические работы;1 500,000;1;1 500,000;0,00;0,00
Итого;1 500,000;;1 500,000;;0,00
Заказ-наряд №: 74 от 03.08.2021, ТС: BMW 5-Series гос. номер: У629ОУ72;;;;;
Промывка форсунок;1 900,000;1;1 900,000;0,00;0,00
Итого;1 900,000;;1 900,000;;0,00
Заказ-наряд №: 83 от 04.08.2021, ТС: Datsun On-Do гос. номер: В120ЕС147;;;;;
Замена свечей зажигания 4 цилиндр. ДВС;400,000;1;400,000;0,00;0,00
Замена электромотора стеклоомывателя;500,000;1;500,000;0,00;0,00
Итого;900,000;;900,000;;0,00
Заказ-наряд №: 84 от 02.11.2021, ТС: ГАЗ 2217 гос. номер: С095ОУ55;;;;;
Бензонасос-разборка/сборка;1 000,000;1;1 000,000;0,00;0,00
Проверка эл.цепей бензонасоса,ремонт (частичная замена)электропроводки;2 200,000;1;2 200,000;0,00;0,00
Итого;3 200,000;;3 200,000;;0,00
Заказ-наряд №: 89 от 04.08.2021, ТС: Chevrolet Cobalt гос. номер: В644КТ196;;;;;
Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках;1 000,000;1;1 000,000;0,00;0,00
Итого;1 000,000;;1 000,000;;0,00
Заказ-наряд №: 92 от 04.08.2021, ТС: Volkswagen Polo гос. номер: В772МО198;;;;;
Диагностика АКПП;3 000,000;1;3 000,000;0,00;0,00
Итого;3 000,000;;3 000,000;;0,00
Заказ-наряд №: 98 от 07.08.2021, ТС: Honda Accord гос. номер: В489ХХ86;;;;;
Устранение неисправности плюсовой клемы АКБ;500,000;1;500,000;0,00;0,00
Итого;500,000;;500,000;;0,00
Заказ-наряд №: 101 от 04.08.2021, ТС: Lifan Solan гос. номер: К644РН72;;;;;
Электротехнические работы;7 000,000;1;7 000,000;0,00;0,00
Итого;7 000,000;;7 000,000;;0,00
Заказ-наряд №: 102 от 04.08.2021, ТС: Renault Logan гос. номер: О284УМ198;;;;;
Проверка электро цепей маяка;2 000,000;1;2 000,000;0,00;0,00
Итого;2 000,000;;2 000,000;;0,00
Заказ-наряд №: 108 от 05.08.2021, ТС: Renault Logan гос. номер: У422АО797;;;;;
Диагностика герметичности системы (УФ-краситель в системе) 1 кондиц.;1 000,000;1;1 000,000;0,00;0,00
Итого;1 000,000;;1 000,000;;0,00
Заказ-наряд №: 117 от 06.08.2021, ТС: Honda Accord гос. номер: М565МО72;;;;;
Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто;1 700,000;1;1 700,000;0,00;0,00
Итого;1 700,000;;1 700,000;;0,00
Заказ-наряд №: 118 от 06.08.2021, ТС: Renault Logan гос. номер: У040АК797;;;;;
Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках;1 000,000;1;1 000,000;0,00;0,00
Итого;1 000,000;;1 000,000;;0,00
Заказ-наряд №: 119 от 06.08.2021, ТС: Renault Logan гос. номер: О285ТР198;;;;;
Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках;1 000,000;1;1 000,000;0,00;0,00
Ремонт электропроводки , устранение неисправностей;2 000,000;1;2 000,000;0,00;0,00
Итого;3 000,000;;3 000,000;;0,00
Заказ-наряд №: 121 от 06.08.2021, ТС: ВАЗ 2109 гос. номер: Е554УА72;;;;;
Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках;1 000,000;1;1 000,000;0,00;0,00
Итого;1 000,000;;1 000,000;;0,00
Заказ-наряд №: 126 от 06.08.2021, ТС: Nissan Almera гос. номер: А563НТ89;;;;;
Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках;1 000,000;1;1 000,000;0,00;0,00
Итого;1 000,000;;1 000,000;;0,00
Заказ-наряд №: 135 от 07.08.2021, ТС: LADA  GRАNТА 219010 гос. номер:В772НС147;;;;;
Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках;1 000,000;1;1 000,000;0,00;0,00
Итого;1 000,000;;1 000,000;;0,00
Заказ-наряд №: 139 от 07.08.2021, ТС: Renault Duster гос. номер: T266JC55;;;;;
Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках;1 000,000;1;1 000,000;0,00;0,00
Итого;1 000,000;;1 000,000;;0,00
Заказ-наряд №: 142 от 12.08.2021, ТС: Kia Rio гос. номер: В462ХО750;;;;;
Замена лампы ПТФ;0,000;1;0,000;0,00;0,00
Простая замена эл ламп освещения стоп-сигналы,поворотники,габариты,подсветканомера,салон;0,000;1;0,000;0,00;0,00
Ремонт электропроводки передней правой фары и ПТФ;700,000;1;700,000;0,00;0,00
Итого;700,000;;700,000;;0,00
Заказ-наряд №: 144 от 07.08.2021, ТС: Toyota Avensis гос. номер: ;;;;;
Электротех работы;3 700,000;1;3 700,000;0,00;0,00
Итого;3 700,000;;3 700,000;;0,00
Заказ-наряд №: 145 от 07.08.2021, ТС: Renault Logan гос. номер: Е707РС72;;;;;
Ведомая диагностика поиска неисправностей ,чтение кодов неисправностей вэлектронных блоках;1 000,000;1;1 000,000;0,00;0,00
Электротехнические работы;500,000;1;500,000;0,00;0,00
Итого;1 500,000;;1 500,000;;0,00
Заказ-наряд №: 147 от 07.08.2021, ТС: Hyundai Solaris гос. номер: О488КК45;;;;;
Замена датчика кислорода;1 000,000;1;1 000,000;0,00;0,00
Итого;1 000,000;;1 000,000;;0,00
Заказ-наряд №: 155 от 08.08.2021, ТС: Kia Ceed гос. номер: Т044СР72;;;;;
Электротехнические работы;4 000,000;1;4 000,000;0,00;0,00
Итого;4 000,000;;4 000,000;;0,00
Заказ-наряд №: 171 от 13.08.2021, ТС: LADA  GRАNТА 219010 гос. номер:В757НС147;;;;;
Заправка кондиц.(газ,масло)и экспресс диагностика легковые авто;1 500,000;1;1 500,000;0,00;0,00
